date,market,publication,domain,category,business_name,instagram_url,instagram_handle,website,research_source,contact_route,buyer_group,category_phrase,outcome_phrase,audience_line,final_dm,quality_score,duplicate_status,last_contacted_date,notes
2026-07-19,"St. Augustine, FL",St. Augustine Digest,staugustinedigest.com,plumbing,David Gray Home Services,https://www.instagram.com/davidgrayhomeservices/,davidgrayhomeservices,https://www.davidgrayonline.com/palm-coast-fl/,your website,marketing,homeowners and families,plumbing reputation,plumbing choice,"3,000+ St. Augustine homeowners and families","Hi David Gray Home Services! I found you through your website and wanted to reach out. We run St. Augustine Digest, a local email publication read by 3,000+ St. Augustine-area locals.

We’re choosing one plumbing company as our exclusive partner, meaning we won’t work with a competing plumbing company. David Gray Home Services looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: plumbing | market affinity: exact city address or core ZIP
2026-07-19,"St. Augustine, FL",St. Augustine Digest,staugustinedigest.com,roofing,Goode Brothers Roofs & Gutters,https://www.instagram.com/goodebrothersroofgutterscreen/,goodebrothersroofgutterscreen,https://www.goodebrothersroofsandgutters.com/new-roofing-systems/,your Google profile,marketing,homeowners and families,roofing reputation,roofing choice,"3,000+ St. Augustine homeowners and families","Hi Goode Brothers Roofs & Gutters! I found you through your Google profile and wanted to reach out. We run St. Augustine Digest, a local email publication read by 3,000+ St. Augustine-area locals.

We’re choosing one roofing company as our exclusive partner, meaning we won’t work with a competing roofing company. Goode Brothers Roofs & Gutters looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: roofing | market affinity: exact city address or core ZIP
2026-07-19,"St. Augustine, FL",St. Augustine Digest,staugustinedigest.com,landscaping,Grassy Gator Outdoor,https://www.instagram.com/grassygatoroutdoor/,grassygatoroutdoor,https://grassygatoroutdoor.com/,your Google profile,marketing,homeowners and families,landscaping work,outdoor upgrade choice,"3,000+ St. Augustine homeowners and families","Hi Grassy Gator Outdoor! I found you through your Google profile and wanted to reach out. We run St. Augustine Digest, a local email publication read by 3,000+ St. Augustine-area locals.

We’re choosing one landscaping company as our exclusive partner, meaning we won’t work with a competing landscaping company. Grassy Gator Outdoor looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: landscaping | market affinity: exact city address or core ZIP
2026-07-19,"St. Augustine, FL",St. Augustine Digest,staugustinedigest.com,landscaping,Sunrise Pavers,https://www.instagram.com/sunrisepaversfl/,sunrisepaversfl,https://sunrisepavers.com/,your Google profile,marketing,homeowners and families,landscaping work,outdoor upgrade choice,"3,000+ St. Augustine homeowners and families","Hi Sunrise Pavers! I found you through your Google profile and wanted to reach out. We run St. Augustine Digest, a local email publication read by 3,000+ St. Augustine-area locals.

We’re choosing one landscaping company as our exclusive partner, meaning we won’t work with a competing landscaping company. Sunrise Pavers looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: landscaping | market affinity: exact city address or core ZIP
2026-07-19,"St. Augustine, FL",St. Augustine Digest,staugustinedigest.com,prenatal/women's health,STA Birth Collective,https://www.instagram.com/midwife_tiffanymartin/,midwife_tiffanymartin,https://stabirthcollective.com/,your Google profile,the office,high-intent local wellness and family buyers,women's health work,women's health resource,"3,000+ St. Augustine high-intent local wellness and family buyers","Hi STA Birth Collective! I found you through your Google profile and wanted to reach out. We run St. Augustine Digest, a local email publication read by 3,000+ St. Augustine-area locals.

We’re choosing one women's health practice as our exclusive partner, meaning we won’t work with a competing women's health clinic. STA Birth Collective looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: prenatal | market affinity: exact city address or core ZIP
2026-07-19,"St. Augustine, FL",St. Augustine Digest,staugustinedigest.com,insurance,Seaman's Insurance Group,https://www.instagram.com/seamansinsurancegroup/,seamansinsurancegroup,https://seamansinsurancegroup.com/,your website,marketing,homeowners and families,insurance work,local insurance resource,"3,000+ St. Augustine homeowners and families","Hi Seaman's Insurance Group! I found you through your website and wanted to reach out. We run St. Augustine Digest, a local email publication read by 3,000+ St. Augustine-area locals.

We’re choosing one insurance agency as our exclusive partner, meaning we won’t work with a competing insurance agency. Seaman's Insurance Group looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: insurance | market affinity: exact city address or core ZIP
2026-07-19,"St. Augustine, FL",St. Augustine Digest,staugustinedigest.com,catering,BDC Meal Prep,https://www.instagram.com/bdcmealprep/,bdcmealprep,https://bdcmeals.com/,your Google profile,partnerships,"locals planning events, weddings, and private celebrations",catering work,catering choice,"3,000+ St. Augustine locals planning events, weddings, and private celebrations","Hi BDC Meal Prep! I found you through your Google profile and wanted to reach out. We run St. Augustine Digest, a local email publication read by 3,000+ St. Augustine-area locals.

We’re choosing one catering company as our exclusive partner, meaning we won’t work with a competing caterer. BDC Meal Prep looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: catering | market affinity: exact city address or core ZIP
2026-07-19,"St. Augustine, FL",St. Augustine Digest,staugustinedigest.com,cosmetic dentistry,Dental Care at Treaty Oaks,https://www.instagram.com/dentalcareattreatyoaks/,dentalcareattreatyoaks,https://dentalcareattreatyoaks.com/,your Google profile,the office,high-intent local wellness and family buyers,cosmetic dentistry work,smile upgrade option,"3,000+ St. Augustine high-intent local wellness and family buyers","Hi Dental Care at Treaty Oaks! I found you through your Google profile and wanted to reach out. We run St. Augustine Digest, a local email publication read by 3,000+ St. Augustine-area locals.

We’re choosing one cosmetic dental practice as our exclusive partner, meaning we won’t work with a competing cosmetic dental office. Dental Care at Treaty Oaks looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: dentist | market affinity: exact city address or core ZIP
2026-07-19,"St. Augustine, FL",St. Augustine Digest,staugustinedigest.com,interior design,Pamela Neel Interiors,https://www.instagram.com/pamelaneelinteriors/,pamelaneelinteriors,https://www.pamelaneelinteriors.com/,your website,marketing,homeowners and families,interior design work,home design choice,"3,000+ St. Augustine homeowners and families","Hi Pamela Neel Interiors! I found you through your website and wanted to reach out. We run St. Augustine Digest, a local email publication read by 3,000+ St. Augustine-area locals.

We’re choosing one interior design studio as our exclusive partner, meaning we won’t work with a competing interior design firm. Pamela Neel Interiors looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: interior design | market affinity: ponte vedra; explicit St. Augustine market/service evidence
2026-07-19,"St. Augustine, FL",St. Augustine Digest,staugustinedigest.com,med spas,Arora Aesthetics Med Spa St Augustine,https://www.instagram.com/aroramd.aesthetics/,aroramd.aesthetics,https://aroramdaesthetics.com/,your Google profile,the office,high-intent local wellness and family buyers,med spa concept,go-to med spa,"3,000+ St. Augustine high-intent local wellness and family buyers","Hi Arora Aesthetics Med Spa St Augustine! I found you through your Google profile and wanted to reach out. We run St. Augustine Digest, a local email publication read by 3,000+ St. Augustine-area locals.

We’re choosing one med spa as our exclusive partner, meaning we won’t work with a competing med spa. Arora Aesthetics Med Spa St Augustine looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: med spa | market affinity: exact city address or core ZIP
