date,market,publication,domain,category,business_name,instagram_url,instagram_handle,website,research_source,contact_route,buyer_group,category_phrase,outcome_phrase,audience_line,final_dm,quality_score,duplicate_status,last_contacted_date,notes
2026-07-27,"Ocala, FL",Ocala Digest,ocaladigest.com,plumbing,OcalaPlumbingServices,https://www.instagram.com/ocalaplumbingservices/,ocalaplumbingservices,https://ocalaplumbingservices.com/,your Google profile,marketing,homeowners and families,plumbing reputation,plumbing choice,"3,000+ Ocala homeowners and families","Hi OcalaPlumbingServices! I found you through your Google profile and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one plumbing company as our exclusive partner, meaning we won’t work with a competing plumbing company. OcalaPlumbingServices looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: instagram_display_name | website category match: plumbing | market affinity: exact city address or core ZIP
2026-07-27,"Ocala, FL",Ocala Digest,ocaladigest.com,aesthetics,Electric Moon Salon,https://www.instagram.com/electricmoonsalon/,electricmoonsalon,https://www.electricmoonsalonocala.com/,your Google profile,the office,high-intent local wellness and family buyers,aesthetics work,aesthetics destination,"3,000+ Ocala high-intent local wellness and family buyers","Hi Electric Moon Salon! I found you through your Google profile and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one aesthetics practice as our exclusive partner, meaning we won’t work with a competing aesthetics clinic. Electric Moon Salon looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | Instagram bio/display category match: aesthetics | market affinity: exact city address or core ZIP
2026-07-27,"Ocala, FL",Ocala Digest,ocaladigest.com,women's wellness,ClearPath Health,https://www.instagram.com/clearpathhealthllc/,clearpathhealthllc,https://www.clearpathhealthllc.com/ocala-florida-marion-county/,your Google profile,the office,high-intent local wellness and family buyers,women's wellness work,women's wellness option,"3,000+ Ocala high-intent local wellness and family buyers","Hi ClearPath Health! I found you through your Google profile and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one women's wellness practice as our exclusive partner, meaning we won’t work with a competing women's wellness clinic. ClearPath Health looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: health | market affinity: exact city address or core ZIP
2026-07-27,"Ocala, FL",Ocala Digest,ocaladigest.com,med spas,Central Florida Eye Institute,https://www.instagram.com/centralfloridaeyeinstitute/,centralfloridaeyeinstitute,https://centralfloridaeye.com/,your Google profile,the office,high-intent local wellness and family buyers,med spa concept,go-to med spa,"3,000+ Ocala high-intent local wellness and family buyers","Hi Central Florida Eye Institute! I found you through your Google profile and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one med spa as our exclusive partner, meaning we won’t work with a competing med spa. Central Florida Eye Institute looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: botox | market affinity: exact city address or core ZIP
2026-07-27,"Ocala, FL",Ocala Digest,ocaladigest.com,catering,Cantina Tex-Mex Ocala,https://www.instagram.com/cantinaocala/,cantinaocala,https://www.cantinaocala.com/,your website,partnerships,"locals planning events, weddings, and private celebrations",catering work,catering choice,"3,000+ Ocala locals planning events, weddings, and private celebrations","Hi Cantina Tex-Mex Ocala! I found you through your website and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one catering company as our exclusive partner, meaning we won’t work with a competing caterer. Cantina Tex-Mex Ocala looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: website_schema | Instagram bio/display category match: catering | market affinity: exact city address or core ZIP
2026-07-27,"Ocala, FL",Ocala Digest,ocaladigest.com,aesthetics,Rejuvenate Wellness,https://www.instagram.com/rejuvenateocala/,rejuvenateocala,http://rejuvenateocala.com/,your Google profile,the office,high-intent local wellness and family buyers,aesthetics work,aesthetics destination,"3,000+ Ocala high-intent local wellness and family buyers","Hi Rejuvenate Wellness! I found you through your Google profile and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one aesthetics practice as our exclusive partner, meaning we won’t work with a competing aesthetics clinic. Rejuvenate Wellness looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | Instagram bio/display category match: facial | market affinity: exact city address or core ZIP
2026-07-27,"Ocala, FL",Ocala Digest,ocaladigest.com,cosmetic dermatology,Ocala Dermatology& Skin Cancer Center,https://www.instagram.com/ocaladerm/,ocaladerm,https://www.ocaladerm.com/,your Google profile,the office,high-intent local wellness and family buyers,skin health and aesthetics work,skin health and aesthetics option,"3,000+ Ocala high-intent local wellness and family buyers","Hi Ocala Dermatology& Skin Cancer Center! I found you through your Google profile and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one cosmetic dermatology practice as our exclusive partner, meaning we won’t work with a competing dermatology office. Ocala Dermatology& Skin Cancer Center looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: instagram_display_name | Instagram bio/display category match: dermatology | market affinity: exact city address or core ZIP
2026-07-27,"Ocala, FL",Ocala Digest,ocaladigest.com,aesthetics,Neon Rainbow Tattoo,https://www.instagram.com/neonrainbowtattoo/,neonrainbowtattoo,https://www.neonrainbowtattoo.com/,your Google profile,the office,high-intent local wellness and family buyers,aesthetics work,aesthetics destination,"3,000+ Ocala high-intent local wellness and family buyers","Hi Neon Rainbow Tattoo! I found you through your Google profile and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one aesthetics practice as our exclusive partner, meaning we won’t work with a competing aesthetics clinic. Neon Rainbow Tattoo looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | Instagram bio/display category match: aesthetics | market affinity: exact city address or core ZIP
2026-07-27,"Ocala, FL",Ocala Digest,ocaladigest.com,aesthetics,Noire The Nail Bar,https://www.instagram.com/noirethenailbarr/,noirethenailbarr,https://noirethenailbarocala.com/,your Google profile,the office,high-intent local wellness and family buyers,aesthetics work,aesthetics destination,"3,000+ Ocala high-intent local wellness and family buyers","Hi Noire The Nail Bar! I found you through your Google profile and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one aesthetics practice as our exclusive partner, meaning we won’t work with a competing aesthetics clinic. Noire The Nail Bar looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | Instagram bio/display category match: aesthetics | market affinity: exact city address or core ZIP
2026-07-27,"Ocala, FL",Ocala Digest,ocaladigest.com,aesthetics,The Sharp Beard co,https://www.instagram.com/thesharpbeard/,thesharpbeard,https://thesharpbeardocala.com/,your Google profile,the office,high-intent local wellness and family buyers,aesthetics work,aesthetics destination,"3,000+ Ocala high-intent local wellness and family buyers","Hi The Sharp Beard co! I found you through your Google profile and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one aesthetics practice as our exclusive partner, meaning we won’t work with a competing aesthetics clinic. The Sharp Beard co looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: barber | market affinity: exact city address or core ZIP
