date,market,publication,domain,category,business_name,instagram_url,instagram_handle,website,research_source,contact_route,buyer_group,category_phrase,outcome_phrase,audience_line,final_dm,quality_score,duplicate_status,last_contacted_date,notes
2026-07-24,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,remodeling,Robinson Renovation & Custom Homes,https://www.instagram.com/rrch.inc/,rrch.inc,https://www.rrchinc.com/,your Google profile,marketing,homeowners and families,remodeling work,home upgrade choice,"3,000+ Gainesville homeowners and families","Hi Robinson Renovation & Custom Homes! I found you through your Google profile and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one remodeling company as our exclusive partner, meaning we won’t work with a competing remodeling company. Robinson Renovation & Custom Homes looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: google_business_profile | website category match: remodel | market affinity: exact city address or core ZIP
2026-07-24,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,private schools,OVM with AnnieMac Home Mortgage,https://www.instagram.com/anniemacnation/,anniemacnation,https://ovmfinancial.com/lo/candimann/,the Greater Gainesville Chamber,admissions,families and parents,private school reputation,school choice,"3,000+ Gainesville families and parents","Hi OVM with AnnieMac Home Mortgage! I found you through the Greater Gainesville Chamber and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one private school as our exclusive partner, meaning we won’t work with a competing private school. OVM with AnnieMac Home Mortgage looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: website_schema | Instagram bio/display category match: private school | market affinity: exact city address or core ZIP | discovery evidence: https://members.gainesvillechamber.com/list/member/ovm-with-anniemac-home-mortgage-30700
2026-07-24,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,CPA/accounting,Carr Riggs & Ingram CPAs and Advisors,https://www.instagram.com/criadvisors/,criadvisors,https://www.criadv.com/,your Google profile,marketing,"homeowners, families, and business owners",tax and accounting work,tax and accounting resource,"3,000+ Gainesville homeowners, families, and business owners","Hi Carr Riggs & Ingram CPAs and Advisors! I found you through your Google profile and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one accounting firm as our exclusive partner, meaning we won’t work with a competing accounting firm. Carr Riggs & Ingram CPAs and Advisors looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: google_business_profile | website category match: cpa | market affinity: exact city address or core ZIP
2026-07-24,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,catering,Fehrenbacher's Meats & Eats,https://www.instagram.com/fehrenbachersmeatsandeats/,fehrenbachersmeatsandeats,https://www.fehrenbachersmeatsandeats.com/,your Google profile,partnerships,"locals planning events, weddings, and private celebrations",catering work,catering choice,"3,000+ Gainesville locals planning events, weddings, and private celebrations","Hi Fehrenbacher's Meats & Eats! I found you through your Google profile and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one catering company as our exclusive partner, meaning we won’t work with a competing caterer. Fehrenbacher's Meats & Eats looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: google_business_profile | website category match: catering | market affinity: exact city address or core ZIP
2026-07-24,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,cosmetic dentistry,Premier Dental Team,https://www.instagram.com/premierdentalteam/,premierdentalteam,https://thepremierdentalteam.com/,your Google profile,the office,high-intent local wellness and family buyers,cosmetic dentistry work,smile upgrade option,"3,000+ Gainesville high-intent local wellness and family buyers","Hi Premier Dental Team! I found you through your Google profile and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one cosmetic dental practice as our exclusive partner, meaning we won’t work with a competing cosmetic dental office. Premier Dental Team looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: google_business_profile | website category match: dentist | market affinity: exact city address or core ZIP
2026-07-24,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,insurance,Waldorff Insurance & Bonding,https://www.instagram.com/waldorffinsuranceandbonding/,waldorffinsuranceandbonding,https://www.waldorffinsurance.com/,your Google profile,marketing,homeowners and families,insurance work,local insurance resource,"3,000+ Gainesville homeowners and families","Hi Waldorff Insurance & Bonding! I found you through your Google profile and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one insurance agency as our exclusive partner, meaning we won’t work with a competing insurance agency. Waldorff Insurance & Bonding looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: google_business_profile | website category match: insurance | market affinity: exact city address or core ZIP
2026-07-24,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,catering,Magnetic Magnificent Events,https://www.instagram.com/magnetic_magnificent_events/,magnetic_magnificent_events,https://www.magneticmagnificent.com/,your Google profile,partnerships,"locals planning events, weddings, and private celebrations",catering work,catering choice,"3,000+ Gainesville locals planning events, weddings, and private celebrations","Hi Magnetic Magnificent Events! I found you through your Google profile and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one catering company as our exclusive partner, meaning we won’t work with a competing caterer. Magnetic Magnificent Events looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: google_business_profile | website category match: corporate event | market affinity: exact city address or core ZIP
2026-07-24,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,HVAC,Newmans Heating & Air Conditioning,https://www.instagram.com/newmanshtgac/,newmanshtgac,https://www.newmansac.com/,your Google profile,marketing,homeowners and families,HVAC reputation,HVAC choice,"3,000+ Gainesville homeowners and families","Hi Newmans Heating & Air Conditioning! I found you through your Google profile and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one HVAC company as our exclusive partner, meaning we won’t work with a competing HVAC company. Newmans Heating & Air Conditioning looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: google_business_profile | website category match: hvac | market affinity: exact city address or core ZIP
2026-07-24,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,business law,Turner O'Connor Kozlowski P.L,https://www.instagram.com/turneroconnorkozlowski/,turneroconnorkozlowski,https://toklegal.com/,your Google profile,marketing,"homeowners, families, and business owners",business law work,business law resource,"3,000+ Gainesville homeowners, families, and business owners","Hi Turner O'Connor Kozlowski P.L! I found you through your Google profile and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one business law firm as our exclusive partner, meaning we won’t work with a competing business law firm. Turner O'Connor Kozlowski P.L looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",4,new,,Instagram HTTP 200 | name source: google_business_profile | website category match: attorney | market affinity: exact city address or core ZIP
2026-07-24,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,home care,Skobel Homes,https://www.instagram.com/skobelhomes/,skobelhomes,https://www.skobel.homes/,the Greater Gainesville Chamber,marketing,"adult children, families, and local caregivers",home care work,trusted home care resource,"3,000+ Gainesville adult children, families, and local caregivers","Hi Skobel Homes! I found you through the Greater Gainesville Chamber and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one home care provider as our exclusive partner, meaning we won’t work with a competing home care agency. Skobel Homes looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",4,new,,Instagram HTTP 200 | name source: website_schema | Instagram bio/display category match: home care | market affinity: exact city address or core ZIP | discovery evidence: https://members.gainesvillechamber.com/list/member/skobel-homes-15471
