date,market,publication,domain,category,business_name,instagram_url,instagram_handle,website,research_source,contact_route,buyer_group,category_phrase,outcome_phrase,audience_line,final_dm,quality_score,duplicate_status,last_contacted_date,notes
2026-07-13,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,CPA/accounting,James Moore & Co.,https://www.instagram.com/jamesmooreandco/,jamesmooreandco,https://www.jmco.com/locations/gainesville/,your CPA website and public Instagram profile,marketing,"homeowners, families, and business owners",tax and accounting work,tax and accounting resource,"3,000+ Gainesville homeowners, families, and business owners","Hi James Moore & Co.! I found you through your CPA website and public Instagram profile and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one accounting firm as our exclusive partner, meaning we won’t work with a competing accounting firm. James Moore & Co looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: instagram_display_name | website category match: cpa | market affinity: alachua; explicit Gainesville market/service evidence
2026-07-13,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,insurance,GreatFlorida Insurance Gainesville,https://www.instagram.com/greatfloridainsurance/,greatfloridainsurance,https://gainesville.greatflorida.com/,your Instagram profile,marketing,homeowners and families,insurance work,local insurance resource,"3,000+ Gainesville homeowners and families","Hi GreatFlorida Insurance Gainesville! I found you through your Instagram profile and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one insurance agency as our exclusive partner, meaning we won’t work with a competing insurance agency. GreatFlorida Insurance Gainesville looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: instagram_display_name | website category match: insurance | market affinity: exact city address or core ZIP
2026-07-13,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,insurance,Schneider and Assoc Insurance Agency,https://www.instagram.com/saiainsurance/,saiainsurance,https://saiainsurance.com/,your public Instagram profile and official website,marketing,homeowners and families,insurance work,local insurance resource,"3,000+ Gainesville homeowners and families","Hi Schneider and Assoc Insurance Agency! I found you through your public Instagram profile and official website and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one insurance agency as our exclusive partner, meaning we won’t work with a competing insurance agency. Schneider and Assoc looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: instagram_display_name | website category match: insurance | market affinity: jonesville; explicit Gainesville market/service evidence
2026-07-13,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,catering,ZEN Creative Catering,https://www.instagram.com/zencreativecatering/,zencreativecatering,,your Instagram profile,partnerships,"locals planning events, weddings, and private celebrations",catering work,catering choice,"3,000+ Gainesville locals planning events, weddings, and private celebrations","Hi ZEN Creative Catering! I found you through your Instagram profile and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one catering company as our exclusive partner, meaning we won’t work with a competing caterer. ZEN Creative looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",4,new,,Instagram HTTP 200 | name source: instagram_display_name | website category match: catering | market affinity: exact city address or core ZIP
2026-07-13,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,home care,Concierge Home Care,https://www.instagram.com/conciergehomecare/,conciergehomecare,https://conciergehomecare.com/location/gainesville/,your Instagram profile,marketing,"adult children, families, and local caregivers",home care work,trusted home care resource,"3,000+ Gainesville adult children, families, and local caregivers","Hi Concierge Home Care! I found you through your Instagram profile and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one home care provider as our exclusive partner, meaning we won’t work with a competing home care agency. Concierge looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",4,new,,Instagram HTTP 200 | name source: instagram_display_name | website category match: home care | market affinity: exact city address or core ZIP
2026-07-13,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,landscaping,Gainesville Florida Pavers,https://www.instagram.com/gainesvillefloridapavers/,gainesvillefloridapavers,,your Instagram profile,marketing,homeowners and families,landscaping work,outdoor upgrade choice,"3,000+ Gainesville homeowners and families","Hi Gainesville Florida Pavers! I found you through your Instagram profile and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one landscaping company as our exclusive partner, meaning we won’t work with a competing landscaping company. Gainesville Florida Pavers looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",4,new,,Instagram HTTP 200 | name source: instagram_display_name | website category match: landscaping | market affinity: exact city address or core ZIP
2026-07-13,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,senior living,ElderCare of Alachua,https://www.instagram.com/eldercare.alachua/,eldercare.alachua,,your Instagram profile,admissions,"adult children, families, and local caregivers",senior living reputation,senior living choice,"3,000+ Gainesville adult children, families, and local caregivers","Hi ElderCare of Alachua! I found you through your Instagram profile and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one senior living community as our exclusive partner, meaning we won’t work with a competing senior living community. ElderCare of Alachua looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",4,new,,Instagram HTTP 200 | name source: instagram_display_name | website category match: senior living | market affinity: exact city address or core ZIP
2026-07-13,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,insurance,Ruz Ogra State Farm,https://www.instagram.com/sfagentruzogra/,sfagentruzogra,,your Instagram profile,marketing,homeowners and families,insurance work,local insurance resource,"3,000+ Gainesville homeowners and families","Hi Ruz Ogra State Farm! I found you through your Instagram profile and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one insurance agency as our exclusive partner, meaning we won’t work with a competing insurance agency. Ruz Ogra State Farm looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",4,new,,Instagram HTTP 200 | name source: instagram_display_name | website category match: insurance | market affinity: exact city address or core ZIP
2026-07-13,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,prenatal/women's health,SIMEDHealth Women s Health & Urology,https://www.instagram.com/simedhealth/,simedhealth,,your Instagram profile,the office,high-intent local wellness and family buyers,women's health work,women's health resource,"3,000+ Gainesville high-intent local wellness and family buyers","Hi SIMEDHealth Women s Health & Urology! I found you through your Instagram profile and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one women's health practice as our exclusive partner, meaning we won’t work with a competing women's health clinic. SIMEDHealth Women s Health & Urology looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",4,new,,Instagram HTTP 200 | name source: instagram_display_name | website category match: prenatal | market affinity: exact city address or core ZIP
2026-07-13,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,wealth advisors,Talon Wealth,https://www.instagram.com/guardingyournestegg/,guardingyournestegg,https://talonwm.com/,your Instagram profile,marketing,"homeowners, families, and business owners",wealth planning work,wealth planning resource,"3,000+ Gainesville homeowners, families, and business owners","Hi Talon Wealth! I found you through your Instagram profile and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one wealth advisory firm as our exclusive partner, meaning we won’t work with a competing wealth advisory firm. Talon Wealth looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",4,new,,Instagram HTTP 200 | name source: instagram_display_name | website category match: wealth | market affinity: exact city address or core ZIP
