date,market,publication,domain,category,business_name,instagram_url,instagram_handle,website,research_source,contact_route,buyer_group,category_phrase,outcome_phrase,audience_line,final_dm,quality_score,duplicate_status,last_contacted_date,notes
2026-07-13,"Ocala, FL",Ocala Digest,ocaladigest.com,women's wellness,Marion County Hospital District,https://www.instagram.com/marioncountyhospitaldistrict/,marioncountyhospitaldistrict,https://mchdt.org/,the Ocala Metro CEP,the office,high-intent local wellness and family buyers,women's wellness work,women's wellness option,"3,000+ Ocala high-intent local wellness and family buyers","Hi Marion County Hospital District! I found you through the Ocala Metro CEP and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one women's wellness practice as our exclusive partner, meaning we won’t work with a competing women's wellness clinic. Marion County Hospital District looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: instagram_display_name | website category match: wellness | market affinity: exact city address or core ZIP | discovery evidence: https://members.ocalacep.com/directory/Details/marion-county-hospital-district-2932885
2026-07-13,"Ocala, FL",Ocala Digest,ocaladigest.com,private schools,Abdul-Kader Okab,https://www.instagram.com/newyorklife/,newyorklife,https://www.newyorklife.com/agent/aokab/,your official website and linked Instagram,admissions,families and parents,private school reputation,school choice,"3,000+ Ocala families and parents","Hi Abdul-Kader Okab! I found you through your official website and linked Instagram and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one private school as our exclusive partner, meaning we won’t work with a competing private school. Abdul-Kader Okab looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: instagram_display_name | website category match: private school | market affinity: exact city address or core ZIP
2026-07-13,"Ocala, FL",Ocala Digest,ocaladigest.com,private schools,Scorpio Community-Centered Construction,https://www.instagram.com/scorpio.construction/,scorpio.construction,https://scorpioco.com/,your official website and linked Instagram,admissions,families and parents,private school reputation,school choice,"3,000+ Ocala families and parents","Hi Scorpio Community-Centered Construction! I found you through your official website and linked Instagram and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one private school as our exclusive partner, meaning we won’t work with a competing private school. Scorpio Community-Centered Construction looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: instagram_display_name | website category match: private school | market affinity: exact city address or core ZIP
2026-07-13,"Ocala, FL",Ocala Digest,ocaladigest.com,women's wellness,Heart of Florida Health Center,https://www.instagram.com/heartoffloridahealthcenter/,heartoffloridahealthcenter,https://www.myhfhc.org/,your official website and linked Instagram,the office,high-intent local wellness and family buyers,women's wellness work,women's wellness option,"3,000+ Ocala high-intent local wellness and family buyers","Hi Heart of Florida Health Center! I found you through your official website and linked Instagram and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one women's wellness practice as our exclusive partner, meaning we won’t work with a competing women's wellness clinic. Heart of Florida Health Center looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: instagram_display_name | website category match: wellness | market affinity: exact city address or core ZIP
2026-07-13,"Ocala, FL",Ocala Digest,ocaladigest.com,aesthetics,Botox,https://www.instagram.com/lift.facial.aesthetics/,lift.facial.aesthetics,https://www.liftfacialaesthetics.com/,your website,the office,high-intent local wellness and family buyers,aesthetics work,aesthetics destination,"3,000+ Ocala high-intent local wellness and family buyers","Hi Botox! I found you through your website and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one aesthetics practice as our exclusive partner, meaning we won’t work with a competing aesthetics clinic. Botox looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: instagram_display_name | website category match: aesthetics | market affinity: exact city address or core ZIP
2026-07-13,"Ocala, FL",Ocala Digest,ocaladigest.com,cosmetic dentistry,The Tooth Shop of Ocala,https://www.instagram.com/thetoothshopocala/,thetoothshopocala,https://www.thetoothshopofocala.com/,your website,the office,high-intent local wellness and family buyers,cosmetic dentistry work,smile upgrade option,"3,000+ Ocala high-intent local wellness and family buyers","Hi The Tooth Shop of Ocala! I found you through your website and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one cosmetic dental practice as our exclusive partner, meaning we won’t work with a competing cosmetic dental office. The Tooth Shop of Ocala looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: instagram_display_name | website category match: dentist | market affinity: exact city address or core ZIP
2026-07-13,"Ocala, FL",Ocala Digest,ocaladigest.com,prenatal/women's health,Women,https://www.instagram.com/allaboutobgyn/,allaboutobgyn,https://www.allaboutobgyn.com/,your website,the office,high-intent local wellness and family buyers,women's health work,women's health resource,"3,000+ Ocala high-intent local wellness and family buyers","Hi Women! I found you through your website and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one women's health practice as our exclusive partner, meaning we won’t work with a competing women's health clinic. Women looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: instagram_display_name | website category match: prenatal | market affinity: exact city address or core ZIP
2026-07-13,"Ocala, FL",Ocala Digest,ocaladigest.com,private schools,Truist Bank,https://www.instagram.com/truist/,truist,https://www.truist.com/finder/wealth/alex-m-fontana-financial-advisor-ocala-fl-34474/,your official website and linked Instagram,admissions,families and parents,private school reputation,school choice,"3,000+ Ocala families and parents","Hi Truist Bank! I found you through your official website and linked Instagram and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one private school as our exclusive partner, meaning we won’t work with a competing private school. Truist Bank looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: instagram_display_name | website category match: private school | market affinity: exact city address or core ZIP
2026-07-13,"Ocala, FL",Ocala Digest,ocaladigest.com,roofing,Ocala Flooring Luxury Vinyl Laminate Tile and More,https://www.instagram.com/ocalaflooring/,ocalaflooring,https://ocalaflooring.com/,your official website and linked Instagram,marketing,homeowners and families,roofing reputation,roofing choice,"3,000+ Ocala homeowners and families","Hi Ocala Flooring Luxury Vinyl Laminate Tile and More! I found you through your official website and linked Instagram and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one roofing company as our exclusive partner, meaning we won’t work with a competing roofing company. Ocala Flooring Luxury Vinyl Laminate Tile and More looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: instagram_display_name | website category match: roofing | market affinity: exact city address or core ZIP
2026-07-13,"Ocala, FL",Ocala Digest,ocaladigest.com,wealth advisors,Waterfront Advisors,https://www.instagram.com/waterfront_advisors/,waterfront_advisors,https://www.waterfrontadvisors.com/,your official website and linked Instagram,marketing,"homeowners, families, and business owners",wealth planning work,wealth planning resource,"3,000+ Ocala homeowners, families, and business owners","Hi Waterfront Advisors! I found you through your official website and linked Instagram and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one wealth advisory firm as our exclusive partner, meaning we won’t work with a competing wealth advisory firm. Waterfront Advisors looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: instagram_display_name | website category match: wealth | market affinity: exact city address or core ZIP
