date,publication,business_name,category,website,instagram_url,owner_first_name,greeting,final_dm
2026-09-21,Athens Scoop,Window World of Athens,remodeling,https://www.windowworldathens.com/category/entry-doors/,https://www.instagram.com/windowworldofathens/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 remodeling company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Classic City Electric,electrical services,https://classiccityelectric.com/faqs/,https://www.instagram.com/classiccityelectric/,Zack,Zack,"Zack, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 electrical company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Branch Electric,electrical services,https://www.branchelectric.net/,https://www.instagram.com/branchelectric/,Scott,Scott,"Scott, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 electrical company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Russell Orthodontics DocAligners Studio,orthodontics,https://russell-orthodontics.com/,https://www.instagram.com/invisaligngoat/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 orthodontic practice partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Plumber Pro Service & Drain,plumbing,https://plumberproservice.com/,https://www.instagram.com/plumber_proservice/,Sam,Sam,"Sam, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 plumbing company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,The Flash Electric Electrician,electrical services,https://theflashelectric.com/,https://www.instagram.com/theflashelectric/,Eric,Eric,"Eric, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 electrical company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Tamez Barbecue,restaurants,https://www.tamezbbq.com/catering/,https://www.instagram.com/tamezbarbecue/,Alejandro,Alejandro,"Alejandro, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 restaurant partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Turner & Patat,CPA/accounting,https://www.turnerandpatat.com/,https://www.instagram.com/turnerandpatat/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 accounting firm partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Mars Hill Dental,cosmetic dentistry,https://marshilldental.com/services/,https://www.instagram.com/marshilldental/,Wendy,Wendy,"Wendy, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 cosmetic dental practice partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Stump Works Professional Stump Grinding,landscaping,https://www.stumpworksathens.com/about/,https://www.instagram.com/stumpworks1/,Rob,Rob,"Rob, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 landscaping company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
