date,market,publication,domain,category,business_name,instagram_url,instagram_handle,website,research_source,contact_route,buyer_group,category_phrase,outcome_phrase,audience_line,final_dm,quality_score,duplicate_status,last_contacted_date,notes
2026-07-31,"St. Augustine, FL",St. Augustine Digest,staugustinedigest.com,cosmetic dentistry,Morse Family Dentistry,https://www.instagram.com/morsefamilydentistry/,morsefamilydentistry,https://www.morsefamilydentistry.com/,your Google profile,the office,high-intent local wellness and family buyers,cosmetic dentistry work,smile upgrade option,"3,000+ St. Augustine high-intent local wellness and family buyers","Hi Morse Family Dentistry! I found you through your Google profile and wanted to reach out. We run St. Augustine Digest, a local email publication read by 3,000+ St. Augustine-area locals.

We’re choosing one cosmetic dental practice as our exclusive partner, meaning we won’t work with a competing cosmetic dental office. Morse Family Dentistry looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: dentist | market affinity: exact city address or core ZIP
2026-07-31,"St. Augustine, FL",St. Augustine Digest,staugustinedigest.com,cosmetic dentistry,Zita Narvaez D.D.S,https://www.instagram.com/zitanarvaezdds/,zitanarvaezdds,https://www.zitanarvaezdds.com/,your Google profile,the office,high-intent local wellness and family buyers,cosmetic dentistry work,smile upgrade option,"3,000+ St. Augustine high-intent local wellness and family buyers","Hi Zita Narvaez D.D.S! I found you through your Google profile and wanted to reach out. We run St. Augustine Digest, a local email publication read by 3,000+ St. Augustine-area locals.

We’re choosing one cosmetic dental practice as our exclusive partner, meaning we won’t work with a competing cosmetic dental office. Zita Narvaez D.D.S looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: dentist | market affinity: exact city address or core ZIP
2026-07-31,"St. Augustine, FL",St. Augustine Digest,staugustinedigest.com,HVAC,St. Johns Heating and Air Conditioning,https://www.instagram.com/stjohnsheatingandair/,stjohnsheatingandair,http://www.stjohnsheatingandair.com/,your Google profile,marketing,homeowners and families,HVAC reputation,HVAC choice,"3,000+ St. Augustine homeowners and families","Hi St. Johns Heating and Air Conditioning! I found you through your Google profile and wanted to reach out. We run St. Augustine Digest, a local email publication read by 3,000+ St. Augustine-area locals.

We’re choosing one HVAC company as our exclusive partner, meaning we won’t work with a competing HVAC company. St. Johns Heating and Air Conditioning looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: hvac | market affinity: exact city address or core ZIP
2026-07-31,"St. Augustine, FL",St. Augustine Digest,staugustinedigest.com,insurance,Ancient City Insurance,https://www.instagram.com/ancientcityinsurance/,ancientcityinsurance,https://ancientcityinsurance.com/,your Google profile,marketing,homeowners and families,insurance work,local insurance resource,"3,000+ St. Augustine homeowners and families","Hi Ancient City Insurance! I found you through your Google profile and wanted to reach out. We run St. Augustine Digest, a local email publication read by 3,000+ St. Augustine-area locals.

We’re choosing one insurance agency as our exclusive partner, meaning we won’t work with a competing insurance agency. Ancient City looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: insurance | market affinity: exact city address or core ZIP
2026-07-31,"St. Augustine, FL",St. Augustine Digest,staugustinedigest.com,insurance,Tim Huber Insurance,https://www.instagram.com/timhuberinsurance/,timhuberinsurance,https://www.timhuberins.com/,your Google profile,marketing,homeowners and families,insurance work,local insurance resource,"3,000+ St. Augustine homeowners and families","Hi Tim Huber Insurance! I found you through your Google profile and wanted to reach out. We run St. Augustine Digest, a local email publication read by 3,000+ St. Augustine-area locals.

We’re choosing one insurance agency as our exclusive partner, meaning we won’t work with a competing insurance agency. Tim Huber looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: insurance | market affinity: exact city address or core ZIP
2026-07-31,"St. Augustine, FL",St. Augustine Digest,staugustinedigest.com,orthodontics,Faunce Rebecca A,https://www.instagram.com/fauncerebeccaa/,fauncerebeccaa,https://faunceorthodontics.com/,your Google profile,the office,families and parents,orthodontic reputation,orthodontic care choice,"3,000+ St. Augustine families and parents","Hi Faunce Rebecca A! I found you through your Google profile and wanted to reach out. We run St. Augustine Digest, a local email publication read by 3,000+ St. Augustine-area locals.

We’re choosing one orthodontic practice as our exclusive partner, meaning we won’t work with a competing orthodontic office. Faunce Rebecca A looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: orthodontist | market affinity: exact city address or core ZIP
2026-07-31,"St. Augustine, FL",St. Augustine Digest,staugustinedigest.com,private schools,Brighton Day Academy,https://www.instagram.com/brightondayacademy/,brightondayacademy,http://www.brightondayacademy.com/,your Google profile,admissions,families and parents,private school reputation,school choice,"3,000+ St. Augustine families and parents","Hi Brighton Day Academy! I found you through your Google profile and wanted to reach out. We run St. Augustine Digest, a local email publication read by 3,000+ St. Augustine-area locals.

We’re choosing one private school as our exclusive partner, meaning we won’t work with a competing private school. Brighton Day looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: academy | market affinity: exact city address or core ZIP
2026-07-31,"St. Augustine, FL",St. Augustine Digest,staugustinedigest.com,private schools,Castle Brook Academy,https://www.instagram.com/castlebrookacademy/,castlebrookacademy,https://castlebrookacademy.com/,your Google profile,admissions,families and parents,private school reputation,school choice,"3,000+ St. Augustine families and parents","Hi Castle Brook Academy! I found you through your Google profile and wanted to reach out. We run St. Augustine Digest, a local email publication read by 3,000+ St. Augustine-area locals.

We’re choosing one private school as our exclusive partner, meaning we won’t work with a competing private school. Castle Brook looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: academy | market affinity: exact city address or core ZIP
2026-07-31,"St. Augustine, FL",St. Augustine Digest,staugustinedigest.com,remodeling,Chris Sanders Construction,https://www.instagram.com/chrissandersconstruction/,chrissandersconstruction,https://chrissandersconstruction.com/,your Google profile,marketing,homeowners and families,remodeling work,home upgrade choice,"3,000+ St. Augustine homeowners and families","Hi Chris Sanders Construction! I found you through your Google profile and wanted to reach out. We run St. Augustine Digest, a local email publication read by 3,000+ St. Augustine-area locals.

We’re choosing one remodeling company as our exclusive partner, meaning we won’t work with a competing remodeling company. Chris Sanders Construction looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: remodel | market affinity: exact city address or core ZIP
2026-07-31,"St. Augustine, FL",St. Augustine Digest,staugustinedigest.com,remodeling,Smith Kitchens,https://www.instagram.com/smithkitchens/,smithkitchens,http://smithkitchens.com/,your Google profile,marketing,homeowners and families,remodeling work,home upgrade choice,"3,000+ St. Augustine homeowners and families","Hi Smith Kitchens! I found you through your Google profile and wanted to reach out. We run St. Augustine Digest, a local email publication read by 3,000+ St. Augustine-area locals.

We’re choosing one remodeling company as our exclusive partner, meaning we won’t work with a competing remodeling company. Smith Kitchens looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: renovation | market affinity: exact city address or core ZIP
