date,market,publication,domain,category,business_name,instagram_url,instagram_handle,website,research_source,contact_route,buyer_group,category_phrase,outcome_phrase,audience_line,final_dm,quality_score,duplicate_status,last_contacted_date,notes
2026-07-31,"Charleston, SC",Charleston Scoop,charlestonscoop.com,HVAC,First Call Heating & Cooling,https://www.instagram.com/843hvacsc/,843hvacsc,https://843hvac-sc.com/,your Google profile,marketing,homeowners and families,HVAC reputation,HVAC choice,"3,000+ Charleston homeowners and families","Hi First Call Heating & Cooling! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one HVAC company as our exclusive partner, meaning we won’t work with a competing HVAC company. First Call Heating & Cooling looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: hvac | market affinity: exact city address or core ZIP
2026-07-31,"Charleston, SC",Charleston Scoop,charlestonscoop.com,cosmetic dentistry,Kidz Planet Pediatric Dentistry,https://www.instagram.com/kidzplanetpediatricdentistry/,kidzplanetpediatricdentistry,https://www.kidzplanetpd.com/,your Google profile,the office,high-intent local wellness and family buyers,cosmetic dentistry work,smile upgrade option,"3,000+ Charleston high-intent local wellness and family buyers","Hi Kidz Planet Pediatric Dentistry! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one cosmetic dental practice as our exclusive partner, meaning we won’t work with a competing cosmetic dental office. Kidz Planet Pediatric Dentistry looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: dentist | market affinity: exact city address or core ZIP
2026-07-31,"Charleston, SC",Charleston Scoop,charlestonscoop.com,roofing,Charleston Gutter Solutions,https://www.instagram.com/guttersolutions/,guttersolutions,https://guttercleaningcharlestonsc.com/,your Google profile,marketing,homeowners and families,roofing reputation,roofing choice,"3,000+ Charleston homeowners and families","Hi Charleston Gutter Solutions! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one roofing company as our exclusive partner, meaning we won’t work with a competing roofing company. Charleston Gutter Solutions looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: roofing | market affinity: exact city address or core ZIP
2026-07-31,"Charleston, SC",Charleston Scoop,charlestonscoop.com,remodeling,Blue Haven Pools & Spas,https://www.instagram.com/bluehavenpoolsusa/,bluehavenpoolsusa,https://www.bluehaven.com/charleston-swimming-pool-builder/,your Google profile,marketing,homeowners and families,remodeling work,home upgrade choice,"3,000+ Charleston homeowners and families","Hi Blue Haven Pools & Spas! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one remodeling company as our exclusive partner, meaning we won’t work with a competing remodeling company. Blue Haven Pools & Spas looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: remodel | market affinity: exact city address or core ZIP
2026-07-31,"Charleston, SC",Charleston Scoop,charlestonscoop.com,pet care,Low Country Dog Agility Club,https://www.instagram.com/lowcountrydogagilityclub/,lowcountrydogagilityclub,https://lcda.clubexpress.com/,your Google profile,marketing,families and parents,pet care concept,pet care choice,"3,000+ Charleston families and parents","Hi Low Country Dog Agility Club! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one pet care business as our exclusive partner, meaning we won’t work with a competing pet care provider. Low Country Dog Agility Club looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: pet | market affinity: exact city address or core ZIP
2026-07-31,"Charleston, SC",Charleston Scoop,charlestonscoop.com,vets,Folly Road Animal Hospital,https://www.instagram.com/follyroadanimalhospital/,follyroadanimalhospital,https://follyroadanimalhospital.com/,your Google profile,the office,families and parents,veterinary reputation,trusted vet,"3,000+ Charleston families and parents","Hi Folly Road Animal Hospital! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one veterinary practice as our exclusive partner, meaning we won’t work with a competing veterinary office. Folly Road looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: veterinarian | market affinity: exact city address or core ZIP
2026-07-31,"Charleston, SC",Charleston Scoop,charlestonscoop.com,HVAC,Terrace Heating & Air,https://www.instagram.com/terraceair/,terraceair,https://www.terraceair.com/,your Google profile,marketing,homeowners and families,HVAC reputation,HVAC choice,"3,000+ Charleston homeowners and families","Hi Terrace Heating & Air! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one HVAC company as our exclusive partner, meaning we won’t work with a competing HVAC company. Terrace Heating & Air looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: hvac | market affinity: exact city address or core ZIP
2026-07-31,"Charleston, SC",Charleston Scoop,charlestonscoop.com,cosmetic dentistry,Elevate Dentistry Charleston,https://www.instagram.com/elevatedentistry/,elevatedentistry,https://www.elevatedentalchs.com/,your Google profile,the office,high-intent local wellness and family buyers,cosmetic dentistry work,smile upgrade option,"3,000+ Charleston high-intent local wellness and family buyers","Hi Elevate Dentistry Charleston! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one cosmetic dental practice as our exclusive partner, meaning we won’t work with a competing cosmetic dental office. Elevate Dentistry Charleston looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: dentist | market affinity: exact city address or core ZIP
2026-07-31,"Charleston, SC",Charleston Scoop,charlestonscoop.com,cosmetic dentistry,Palmetto Smiles Family Cosmetic & Implant Dentistry,https://www.instagram.com/palmettosmilesofcharleston/,palmettosmilesofcharleston,https://www.palmettosmilesofcharleston.com/,your Google profile,the office,high-intent local wellness and family buyers,cosmetic dentistry work,smile upgrade option,"3,000+ Charleston high-intent local wellness and family buyers","Hi Palmetto Smiles Family Cosmetic & Implant Dentistry! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one cosmetic dental practice as our exclusive partner, meaning we won’t work with a competing cosmetic dental office. Palmetto Smiles Family Cosmetic & Implant Dentistry looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: dentist | market affinity: exact city address or core ZIP
2026-07-31,"Charleston, SC",Charleston Scoop,charlestonscoop.com,cosmetic dentistry,West Ashley Dental Center,https://www.instagram.com/westashleydentalcenter/,westashleydentalcenter,https://westashleydentalcenter.com/,your Google profile,the office,high-intent local wellness and family buyers,cosmetic dentistry work,smile upgrade option,"3,000+ Charleston high-intent local wellness and family buyers","Hi West Ashley Dental Center! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one cosmetic dental practice as our exclusive partner, meaning we won’t work with a competing cosmetic dental office. West Ashley Dental Center looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: dentist | market affinity: exact city address or core ZIP
2026-07-31,"Charleston, SC",Charleston Scoop,charlestonscoop.com,home care,Angels Sitter Service,https://www.instagram.com/angelssitterservice/,angelssitterservice,https://angelssitterservice.com/,your Google profile,marketing,"adult children, families, and local caregivers",home care work,trusted home care resource,"3,000+ Charleston adult children, families, and local caregivers","Hi Angels Sitter Service! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one home care provider as our exclusive partner, meaning we won’t work with a competing home care agency. Angels Sitter Service looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: home care | market affinity: exact city address or core ZIP
2026-07-31,"Charleston, SC",Charleston Scoop,charlestonscoop.com,orthodontics,Swasty Orthodontics,https://www.instagram.com/swastyorthodontics/,swastyorthodontics,https://www.swastyortho.com/,your Google profile,the office,families and parents,orthodontic reputation,orthodontic care choice,"3,000+ Charleston families and parents","Hi Swasty Orthodontics! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one orthodontic practice as our exclusive partner, meaning we won’t work with a competing orthodontic office. Swasty looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: orthodontist | market affinity: exact city address or core ZIP
2026-07-31,"Charleston, SC",Charleston Scoop,charlestonscoop.com,private schools,Lowcountry Christian Community School,https://www.instagram.com/lowcountrychristian/,lowcountrychristian,https://www.lowcountrychristian.com/,your Google profile,admissions,families and parents,private school reputation,school choice,"3,000+ Charleston families and parents","Hi Lowcountry Christian Community School! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one private school as our exclusive partner, meaning we won’t work with a competing private school. Lowcountry Christian Community School looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: school | market affinity: exact city address or core ZIP
