date,market,publication,domain,category,business_name,instagram_url,instagram_handle,website,research_source,contact_route,buyer_group,category_phrase,outcome_phrase,audience_line,final_dm,quality_score,duplicate_status,last_contacted_date,notes
2026-07-02,"Athens, GA",Athens Scoop,athensscoop.com,remodeling,Encompass Contracting LLC,https://www.instagram.com/encompasscontractingllc/,encompasscontractingllc,https://encompasscontracting.com/interior-services/kitchen-remodeling/,on your website's remodeling work pages and linked Instagram,marketing,homeowners and families,remodeling work,home upgrade choice,"10,000+ Athens homeowners and families","Hi Encompass Contracting LLC! Not sure if whoever handles marketing is the one running this account, but I saw you on your website's remodeling work pages and linked Instagram and your remodeling work is obviously strong. Figured Athens Scoop could become a good new channel for you to reach our 10,000+ Athens homeowners and families.

We’re looking for 1 remodeling partner to have as an exclusive partner we turn into the most recognized home upgrade choice for Athens homeowners and families through our email publication.

Would this be worth a 5-minute chat with whoever handles marketing or totally not something y’all need right now? Happy to work around your schedule, or instead of call just text the right person more info.

website: athensscoop.com

* Andrew",5,new,,"Athens context: 10,000 subscribers, 15,000 Instagram followers, and a high-LTV local audience rather than a student-only audience. | Instagram HTTP 200 | name source: website_schema | website category match: remodel"
2026-07-02,"Athens, GA",Athens Scoop,athensscoop.com,business law,Personal Injury Lawyer in Athens GA Day Injury Law,https://www.instagram.com/dayinjurylaw/,dayinjurylaw,https://www.athenspersonalinjuryattorney.com/watkinsville-personal-injury-lawyer,on your website's business law work pages and linked Instagram,marketing,"homeowners, families, and business owners",business law work,business law resource,"10,000+ Athens homeowners, families, and business owners","Hi Personal Injury Lawyer in Athens GA Day Injury Law! Not sure if whoever handles marketing is the one running this account, but I saw you on your website's business law work pages and linked Instagram and your business law work is obviously strong. Figured Athens Scoop could become a good new channel for you to reach our 10,000+ Athens homeowners, families, and business owners.

We’re looking for 1 business law partner to have as an exclusive partner we turn into the most recognized business law resource for Athens homeowners, families, and business owners through our email publication.

Would this be worth a 5-minute chat with whoever handles marketing or totally not something y’all need right now? Happy to work around your schedule, or instead of call just text the right person more info.

website: athensscoop.com

* Andrew",5,new,,"Athens context: 10,000 subscribers, 15,000 Instagram followers, and a high-LTV local audience rather than a student-only audience. | Instagram HTTP 200 | name source: website_schema | website category match: attorney"
2026-07-02,"Athens, GA",Athens Scoop,athensscoop.com,vets,Boulevard Animal Hospital,https://www.instagram.com/boulevard.animal.hospital/,boulevard.animal.hospital,https://downtownathensvets.com,on your website's veterinary reputation pages and linked Instagram,the office,families and parents,veterinary reputation,trusted vet,"10,000+ Athens families and parents","Hi Boulevard Animal Hospital! Not sure if whoever handles the office is the one running this account, but I saw you on your website's veterinary reputation pages and linked Instagram and your veterinary reputation is obviously strong. Figured Athens Scoop could become a good new channel for you to reach our 10,000+ Athens families and parents.

We’re looking for 1 vets partner to have as an exclusive partner we turn into the most recognized trusted vet for Athens families and parents through our email publication.

Would this be worth a 5-minute chat with whoever handles the office or totally not something y’all need right now? Happy to work around your schedule, or instead of call just text the right person more info.

website: athensscoop.com

* Andrew",5,new,,"Athens context: 10,000 subscribers, 15,000 Instagram followers, and a high-LTV local audience rather than a student-only audience. | Instagram HTTP 200 | name source: website_schema | website category match: veterinarian"
2026-07-02,"Athens, GA",Athens Scoop,athensscoop.com,HVAC,Stanfield Air Systems,https://www.instagram.com/stanfieldairsystems/,stanfieldairsystems,https://stanfieldair.com/about,on your website's HVAC reputation pages and linked Instagram,marketing,homeowners and families,HVAC reputation,HVAC choice,"10,000+ Athens homeowners and families","Hi Stanfield Air Systems! Not sure if whoever handles marketing is the one running this account, but I saw you on your website's HVAC reputation pages and linked Instagram and your HVAC reputation is obviously strong. Figured Athens Scoop could become a good new channel for you to reach our 10,000+ Athens homeowners and families.

We’re looking for 1 HVAC partner to have as an exclusive partner we turn into the most recognized HVAC choice for Athens homeowners and families through our email publication.

Would this be worth a 5-minute chat with whoever handles marketing or totally not something y’all need right now? Happy to work around your schedule, or instead of call just text the right person more info.

website: athensscoop.com

* Andrew",5,new,,"Athens context: 10,000 subscribers, 15,000 Instagram followers, and a high-LTV local audience rather than a student-only audience. | Instagram HTTP 200 | name source: website_schema | website category match: hvac"
2026-07-02,"Athens, GA",Athens Scoop,athensscoop.com,home care,Help at Home,https://www.instagram.com/helpathomeus/,helpathomeus,https://www.helpathome.com/location-finder/athens,on your website's home care work pages and linked Instagram,marketing,"adult children, families, and local caregivers",home care work,trusted home care resource,"10,000+ Athens adult children, families, and local caregivers","Hi Help at Home! Not sure if whoever handles marketing is the one running this account, but I saw you on your website's home care work pages and linked Instagram and your home care work is obviously strong. Figured Athens Scoop could become a good new channel for you to reach our 10,000+ Athens adult children, families, and local caregivers.

We’re looking for 1 home care partner to have as an exclusive partner we turn into the most recognized trusted home care resource for Athens adult children, families, and local caregivers through our email publication.

Would this be worth a 5-minute chat with whoever handles marketing or totally not something y’all need right now? Happy to work around your schedule, or instead of call just text the right person more info.

website: athensscoop.com

* Andrew",5,new,,"Athens context: 10,000 subscribers, 15,000 Instagram followers, and a high-LTV local audience rather than a student-only audience. | Instagram HTTP 200 | name source: website_schema | website category match: home care"
2026-07-02,"Athens, GA",Athens Scoop,athensscoop.com,business law,Blasingame Burch Garrard & Ashley P.C.,https://www.instagram.com/bbgalaw/,bbgalaw,https://www.bbga.com/practice-areas/personal-injury,on your website's business law work pages and linked Instagram,marketing,"homeowners, families, and business owners",business law work,business law resource,"10,000+ Athens homeowners, families, and business owners","Hi Blasingame Burch Garrard & Ashley P.C.! Not sure if whoever handles marketing is the one running this account, but I saw you on your website's business law work pages and linked Instagram and your business law work is obviously strong. Figured Athens Scoop could become a good new channel for you to reach our 10,000+ Athens homeowners, families, and business owners.

We’re looking for 1 business law partner to have as an exclusive partner we turn into the most recognized business law resource for Athens homeowners, families, and business owners through our email publication.

Would this be worth a 5-minute chat with whoever handles marketing or totally not something y’all need right now? Happy to work around your schedule, or instead of call just text the right person more info.

website: athensscoop.com

* Andrew",5,new,,"Athens context: 10,000 subscribers, 15,000 Instagram followers, and a high-LTV local audience rather than a student-only audience. | Instagram HTTP 200 | name source: website_schema | website category match: business law"
2026-07-02,"Athens, GA",Athens Scoop,athensscoop.com,plumbing,Summers Plumbing,https://www.instagram.com/summersplumbing/,summersplumbing,https://www.summers-plumbing.com,on your website's plumbing reputation pages and linked Instagram,marketing,homeowners and families,plumbing reputation,plumbing choice,"10,000+ Athens homeowners and families","Hi Summers Plumbing! Not sure if whoever handles marketing is the one running this account, but I saw you on your website's plumbing reputation pages and linked Instagram and your plumbing reputation is obviously strong. Figured Athens Scoop could become a good new channel for you to reach our 10,000+ Athens homeowners and families.

We’re looking for 1 plumbing partner to have as an exclusive partner we turn into the most recognized plumbing choice for Athens homeowners and families through our email publication.

Would this be worth a 5-minute chat with whoever handles marketing or totally not something y’all need right now? Happy to work around your schedule, or instead of call just text the right person more info.

website: athensscoop.com

* Andrew",5,new,,"Athens context: 10,000 subscribers, 15,000 Instagram followers, and a high-LTV local audience rather than a student-only audience. | Instagram HTTP 200 | name source: website_schema | website category match: plumbing"
2026-07-02,"Athens, GA",Athens Scoop,athensscoop.com,orthodontics,American Association of Orthodontists,https://www.instagram.com/aao.info/,aao.info,https://aaoinfo.org/locator/dr-robert-l-waugh-jr,on your website's orthodontic reputation pages and linked Instagram,the office,families and parents,orthodontic reputation,orthodontic care choice,"10,000+ Athens families and parents","Hi American Association of Orthodontists! Not sure if whoever handles the office is the one running this account, but I saw you on your website's orthodontic reputation pages and linked Instagram and your orthodontic reputation is obviously strong. Figured Athens Scoop could become a good new channel for you to reach our 10,000+ Athens families and parents.

We’re looking for 1 orthodontics partner to have as an exclusive partner we turn into the most recognized orthodontic care choice for Athens families and parents through our email publication.

Would this be worth a 5-minute chat with whoever handles the office or totally not something y’all need right now? Happy to work around your schedule, or instead of call just text the right person more info.

website: athensscoop.com

* Andrew",5,new,,"Athens context: 10,000 subscribers, 15,000 Instagram followers, and a high-LTV local audience rather than a student-only audience. | Instagram HTTP 200 | name source: website_schema | website category match: orthodontist"
2026-07-02,"Athens, GA",Athens Scoop,athensscoop.com,vets,Oak Grove Animal Clinic,https://www.instagram.com/oakgroveanimalclinic/,oakgroveanimalclinic,https://oakgrove.vet/services,on your website's veterinary reputation pages and linked Instagram,the office,families and parents,veterinary reputation,trusted vet,"10,000+ Athens families and parents","Hi Oak Grove Animal Clinic! Not sure if whoever handles the office is the one running this account, but I saw you on your website's veterinary reputation pages and linked Instagram and your veterinary reputation is obviously strong. Figured Athens Scoop could become a good new channel for you to reach our 10,000+ Athens families and parents.

We’re looking for 1 vets partner to have as an exclusive partner we turn into the most recognized trusted vet for Athens families and parents through our email publication.

Would this be worth a 5-minute chat with whoever handles the office or totally not something y’all need right now? Happy to work around your schedule, or instead of call just text the right person more info.

website: athensscoop.com

* Andrew",5,new,,"Athens context: 10,000 subscribers, 15,000 Instagram followers, and a high-LTV local audience rather than a student-only audience. | Instagram HTTP 200 | name source: website_schema | website category match: veterinarian"
2026-07-02,"Athens, GA",Athens Scoop,athensscoop.com,remodeling,Merry Mac Builders,https://www.instagram.com/merrymacbuilders/,merrymacbuilders,https://www.merrymacbuilders.com,on your website's remodeling work pages and linked Instagram,marketing,homeowners and families,remodeling work,home upgrade choice,"10,000+ Athens homeowners and families","Hi Merry Mac Builders! Not sure if whoever handles marketing is the one running this account, but I saw you on your website's remodeling work pages and linked Instagram and your remodeling work is obviously strong. Figured Athens Scoop could become a good new channel for you to reach our 10,000+ Athens homeowners and families.

We’re looking for 1 remodeling partner to have as an exclusive partner we turn into the most recognized home upgrade choice for Athens homeowners and families through our email publication.

Would this be worth a 5-minute chat with whoever handles marketing or totally not something y’all need right now? Happy to work around your schedule, or instead of call just text the right person more info.

website: athensscoop.com

* Andrew",4,new,,"Athens context: 10,000 subscribers, 15,000 Instagram followers, and a high-LTV local audience rather than a student-only audience. | Instagram HTTP 200 | name source: website_schema | website category match: remodel"
2026-07-02,"Athens, GA",Athens Scoop,athensscoop.com,landscaping,Z's Outdoor Services,https://www.instagram.com/zs_outdoor_services_llc/,zs_outdoor_services_llc,https://zsoutdoorservices.com,on your website's landscaping work pages and linked Instagram,marketing,homeowners and families,landscaping work,outdoor upgrade choice,"10,000+ Athens homeowners and families","Hi Z's Outdoor Services! Not sure if whoever handles marketing is the one running this account, but I saw you on your website's landscaping work pages and linked Instagram and your landscaping work is obviously strong. Figured Athens Scoop could become a good new channel for you to reach our 10,000+ Athens homeowners and families.

We’re looking for 1 landscaping partner to have as an exclusive partner we turn into the most recognized outdoor upgrade choice for Athens homeowners and families through our email publication.

Would this be worth a 5-minute chat with whoever handles marketing or totally not something y’all need right now? Happy to work around your schedule, or instead of call just text the right person more info.

website: athensscoop.com

* Andrew",4,new,,"Athens context: 10,000 subscribers, 15,000 Instagram followers, and a high-LTV local audience rather than a student-only audience. | Instagram HTTP 200 | name source: website_schema | website category match: outdoor"
