date,market,publication,domain,category,business_name,instagram_url,instagram_handle,website,research_source,contact_route,buyer_group,category_phrase,outcome_phrase,audience_line,final_dm,quality_score,duplicate_status,last_contacted_date,notes
2026-07-30,"Charleston, SC",Charleston Scoop,charlestonscoop.com,plumbing,Ashley Plumbing Co,https://www.instagram.com/ashleyplumbingco/,ashleyplumbingco,http://www.ashleyplumbingco.com/,your Google profile,marketing,homeowners and families,plumbing reputation,plumbing choice,"3,000+ Charleston homeowners and families","Hi Ashley Plumbing Co! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one plumbing company as our exclusive partner, meaning we won’t work with a competing plumbing company. Ashley Plumbing Co looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: plumbing | market affinity: exact city address or core ZIP
2026-07-30,"Charleston, SC",Charleston Scoop,charlestonscoop.com,home care,Interim HealthCare of Charleston,https://www.instagram.com/interimhealthcare/,interimhealthcare,https://www.interimhealthcare.com/location/north-charleston-sc/,your Google profile,marketing,"adult children, families, and local caregivers",home care work,trusted home care resource,"3,000+ Charleston adult children, families, and local caregivers","Hi Interim HealthCare of Charleston! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one home care provider as our exclusive partner, meaning we won’t work with a competing home care agency. Interim HealthCare of Charleston looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: home care | market affinity: exact city address or core ZIP
2026-07-30,"Charleston, SC",Charleston Scoop,charlestonscoop.com,HVAC,5 Star Charleston,https://www.instagram.com/5starcharleston/,5starcharleston,https://5starcharleston.com/,your Google profile,marketing,homeowners and families,HVAC reputation,HVAC choice,"3,000+ Charleston homeowners and families","Hi 5 Star Charleston! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one HVAC company as our exclusive partner, meaning we won’t work with a competing HVAC company. 5 Star Charleston looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: hvac | market affinity: exact city address or core ZIP
2026-07-30,"Charleston, SC",Charleston Scoop,charlestonscoop.com,insurance,Cliff Heath Insurance,https://www.instagram.com/cliffheathinsurance/,cliffheathinsurance,https://www.cliffheathinsurance.com/,your Google profile,marketing,homeowners and families,insurance work,local insurance resource,"3,000+ Charleston homeowners and families","Hi Cliff Heath Insurance! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one insurance agency as our exclusive partner, meaning we won’t work with a competing insurance agency. Cliff Heath looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: insurance | market affinity: exact city address or core ZIP
2026-07-30,"Charleston, SC",Charleston Scoop,charlestonscoop.com,roofing,Ashley River Roofing,https://www.instagram.com/ashleyriverroofing/,ashleyriverroofing,https://www.ashleyriverroofing.com/,your Google profile,marketing,homeowners and families,roofing reputation,roofing choice,"3,000+ Charleston homeowners and families","Hi Ashley River Roofing! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one roofing company as our exclusive partner, meaning we won’t work with a competing roofing company. Ashley River looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: roofing | market affinity: exact city address or core ZIP
2026-07-30,"Charleston, SC",Charleston Scoop,charlestonscoop.com,HVAC,Air Pros Heating and Cooling,https://www.instagram.com/airproscooling/,airproscooling,https://airproscooling.com/,your Google profile,marketing,homeowners and families,HVAC reputation,HVAC choice,"3,000+ Charleston homeowners and families","Hi Air Pros Heating and Cooling! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one HVAC company as our exclusive partner, meaning we won’t work with a competing HVAC company. Air Pros Heating and Cooling looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: hvac | market affinity: exact city address or core ZIP
2026-07-30,"Charleston, SC",Charleston Scoop,charlestonscoop.com,remodeling,New Age Contractors LLP,https://www.instagram.com/newagecontractorsllp/,newagecontractorsllp,https://www.newagellp.com/,your Google profile,marketing,homeowners and families,remodeling work,home upgrade choice,"3,000+ Charleston homeowners and families","Hi New Age Contractors LLP! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one remodeling company as our exclusive partner, meaning we won’t work with a competing remodeling company. New Age Contractors LLP looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: remodel | market affinity: exact city address or core ZIP
2026-07-30,"Charleston, SC",Charleston Scoop,charlestonscoop.com,business law,Steadman Law Firm,https://www.instagram.com/lowcountryconsumerlawyer/,lowcountryconsumerlawyer,https://steadmanlawfirm.com/,your Google profile,marketing,"homeowners, families, and business owners",business law work,business law resource,"3,000+ Charleston homeowners, families, and business owners","Hi Steadman Law Firm! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one business law firm as our exclusive partner, meaning we won’t work with a competing business law firm. Steadman Law Firm looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: business law | market affinity: exact city address or core ZIP
2026-07-30,"Charleston, SC",Charleston Scoop,charlestonscoop.com,business law,Taylor Anderson Law Firm,https://www.instagram.com/taylorandersonlaw/,taylorandersonlaw,https://www.andersonlawfirm.law/,your Google profile,marketing,"homeowners, families, and business owners",business law work,business law resource,"3,000+ Charleston homeowners, families, and business owners","Hi Taylor Anderson Law Firm! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one business law firm as our exclusive partner, meaning we won’t work with a competing business law firm. Taylor Anderson Law Firm looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: law firm | market affinity: exact city address or core ZIP
2026-07-30,"Charleston, SC",Charleston Scoop,charlestonscoop.com,business law,Bill Green Law Firm Injury Lawyers,https://www.instagram.com/billgreenlawfirm/,billgreenlawfirm,https://billgreen.law/service-areas/north-charleston/,your Google profile,marketing,"homeowners, families, and business owners",business law work,business law resource,"3,000+ Charleston homeowners, families, and business owners","Hi Bill Green Law Firm Injury Lawyers! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one business law firm as our exclusive partner, meaning we won’t work with a competing business law firm. Bill Green Law Firm Injury Lawyers looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: attorney | market affinity: exact city address or core ZIP
