date,market,publication,domain,category,business_name,instagram_url,instagram_handle,website,research_source,contact_route,buyer_group,category_phrase,outcome_phrase,audience_line,final_dm,quality_score,duplicate_status,last_contacted_date,notes
2026-07-26,"Augusta, GA",Augusta Digest,augustadigest.com,business law,Jackson R. Massey & Associates P.C,https://www.instagram.com/jackson/,jackson,https://jacksonmasseywins.com/,your Google profile,marketing,"homeowners, families, and business owners",business law work,business law resource,"6,000+ Augusta homeowners, families, and business owners","Hi Jackson R. Massey & Associates P.C! I found you through your Google profile and wanted to reach out. We run Augusta Digest, a local email publication read by 6,000+ Augusta-area locals.

We’re choosing one business law firm as our exclusive partner, meaning we won’t work with a competing business law firm. Jackson R. Massey & Associates P.C looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: attorney | market affinity: exact city address or core ZIP
2026-07-26,"Augusta, GA",Augusta Digest,augustadigest.com,women's wellness,Evolution Therapeutic Bodyworks,https://www.instagram.com/evolution_bodyworks/,evolution_bodyworks,https://www.evolutionbodyworks.com/,your website,the office,high-intent local wellness and family buyers,women's wellness work,women's wellness option,"6,000+ Augusta high-intent local wellness and family buyers","Hi Evolution Therapeutic Bodyworks! I found you through your website and wanted to reach out. We run Augusta Digest, a local email publication read by 6,000+ Augusta-area locals.

We’re choosing one women's wellness practice as our exclusive partner, meaning we won’t work with a competing women's wellness clinic. Evolution Therapeutic Bodyworks looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | Instagram bio/display category match: wellness | market affinity: exact city address or core ZIP
2026-07-26,"Augusta, GA",Augusta Digest,augustadigest.com,private schools,Elite Learning Academy,https://www.instagram.com/coline/,coline,https://elitelearningacademyga.com/,your Google profile,admissions,families and parents,private school reputation,school choice,"6,000+ Augusta families and parents","Hi Elite Learning Academy! I found you through your Google profile and wanted to reach out. We run Augusta Digest, a local email publication read by 6,000+ Augusta-area locals.

We’re choosing one private school as our exclusive partner, meaning we won’t work with a competing private school. Elite Learning looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: academy | market affinity: exact city address or core ZIP
2026-07-26,"Augusta, GA",Augusta Digest,augustadigest.com,aesthetics,SpaBleuAugusta,https://www.instagram.com/spableuaugusta/,spableuaugusta,https://www.spableuaugustaga.com/,your Google profile,the office,high-intent local wellness and family buyers,aesthetics work,aesthetics destination,"6,000+ Augusta high-intent local wellness and family buyers","Hi SpaBleuAugusta! I found you through your Google profile and wanted to reach out. We run Augusta Digest, a local email publication read by 6,000+ Augusta-area locals.

We’re choosing one aesthetics practice as our exclusive partner, meaning we won’t work with a competing aesthetics clinic. SpaBleuAugusta looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: instagram_display_name | website category match: facial | market affinity: exact city address or core ZIP
2026-07-26,"Augusta, GA",Augusta Digest,augustadigest.com,cosmetic dentistry,SummervilleDentistry,https://www.instagram.com/summervilledentistry/,summervilledentistry,http://summervilledentistry.com/,your Google profile,the office,high-intent local wellness and family buyers,cosmetic dentistry work,smile upgrade option,"6,000+ Augusta high-intent local wellness and family buyers","Hi SummervilleDentistry! I found you through your Google profile and wanted to reach out. We run Augusta Digest, a local email publication read by 6,000+ Augusta-area locals.

We’re choosing one cosmetic dental practice as our exclusive partner, meaning we won’t work with a competing cosmetic dental office. SummervilleDentistry looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: instagram_display_name | Instagram bio/display category match: dentist | market affinity: exact city address or core ZIP
2026-07-26,"Augusta, GA",Augusta Digest,augustadigest.com,roofing,AllAspectsRoofing,https://www.instagram.com/roofingallaspectsroofing/,roofingallaspectsroofing,https://www.allaspectsroofingofaugusta.com/,your Google profile,marketing,homeowners and families,roofing reputation,roofing choice,"6,000+ Augusta homeowners and families","Hi AllAspectsRoofing! I found you through your Google profile and wanted to reach out. We run Augusta Digest, a local email publication read by 6,000+ Augusta-area locals.

We’re choosing one roofing company as our exclusive partner, meaning we won’t work with a competing roofing company. AllAspectsRoofing looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: instagram_display_name | website category match: roofing | market affinity: exact city address or core ZIP
2026-07-26,"Augusta, GA",Augusta Digest,augustadigest.com,vets,Care More Animal Hospital,https://www.instagram.com/augustaroadanimalhospital/,augustaroadanimalhospital,http://www.caremoreanimalhospital.net/,your Google profile,the office,families and parents,veterinary reputation,trusted vet,"6,000+ Augusta families and parents","Hi Care More Animal Hospital! I found you through your Google profile and wanted to reach out. We run Augusta Digest, a local email publication read by 6,000+ Augusta-area locals.

We’re choosing one veterinary practice as our exclusive partner, meaning we won’t work with a competing veterinary office. Care More looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | Instagram bio/display category match: veterinarian | market affinity: exact city address or core ZIP
2026-07-26,"Augusta, GA",Augusta Digest,augustadigest.com,aesthetics,C T Nails,https://www.instagram.com/ct_nailsga/,ct_nailsga,https://ctnailsaugusta.com/,your Google profile,the office,high-intent local wellness and family buyers,aesthetics work,aesthetics destination,"6,000+ Augusta high-intent local wellness and family buyers","Hi C T Nails! I found you through your Google profile and wanted to reach out. We run Augusta Digest, a local email publication read by 6,000+ Augusta-area locals.

We’re choosing one aesthetics practice as our exclusive partner, meaning we won’t work with a competing aesthetics clinic. C T Nails looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: salon | market affinity: exact city address or core ZIP
2026-07-26,"Augusta, GA",Augusta Digest,augustadigest.com,remodeling,GA Granite Augusta,https://www.instagram.com/ga.granite/,ga.granite,https://www.gagranite.com/,your website,marketing,homeowners and families,remodeling work,home upgrade choice,"6,000+ Augusta homeowners and families","Hi GA Granite Augusta! I found you through your website and wanted to reach out. We run Augusta Digest, a local email publication read by 6,000+ Augusta-area locals.

We’re choosing one remodeling company as our exclusive partner, meaning we won’t work with a competing remodeling company. GA Granite Augusta looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: renovation | market affinity: exact city address or core ZIP
2026-07-26,"Augusta, GA",Augusta Digest,augustadigest.com,med spas,Magnolia Lane Plastic Surgery,https://www.instagram.com/magnolia_lane_plastic_surgery/,magnolia_lane_plastic_surgery,https://magnolialaneplasticsurgery.com/,your Google profile,the office,high-intent local wellness and family buyers,med spa concept,go-to med spa,"6,000+ Augusta high-intent local wellness and family buyers","Hi Magnolia Lane Plastic Surgery! I found you through your Google profile and wanted to reach out. We run Augusta Digest, a local email publication read by 6,000+ Augusta-area locals.

We’re choosing one med spa as our exclusive partner, meaning we won’t work with a competing med spa. Magnolia Lane Plastic Surgery looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: botox | market affinity: exact city address or core ZIP
