date,publication,business_name,category,website,instagram_url,owner_first_name,greeting,final_dm
2026-09-21,Athens Scoop,Classic City Arborists,tree services,https://www.classiccityarborists.com/contact/,https://www.instagram.com/classiccityarborists/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 tree service company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,SPG Residential Studio,landscaping,https://www.spgresidential.com/,https://www.instagram.com/spgresidential/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 landscaping company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,South Athens Animal Clinic,vets,https://www.southathensanimalclinic.com/services/,https://www.instagram.com/south_athens/,Maureen,Maureen,"Maureen, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 veterinary practice partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,CYJ Cleaning Services,home cleaning,https://cyjcleaning.com/,https://www.instagram.com/cyjcleaningathens/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 home cleaning company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Winterville Animal Clinic,vets,https://www.wintervilleanimalclinic.com/,https://www.instagram.com/winterville_animal_clinic/,Matthew,Matthew,"Matthew, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 veterinary practice partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Gaines Shoal Animal Clinic,vets,https://gainesshoalanimalclinic.com/,https://www.instagram.com/gainesshoalanimalclinic/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 veterinary practice partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Hales Heating & Cooling,HVAC,https://www.haleshvac.com/,https://www.instagram.com/haleshvac/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 HVAC company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Ricardos Go painting,painting,https://ricardosgopainting.com/,https://www.instagram.com/gopaintingricardos/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 painting company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Oconee Law Firm,estate law,https://oconeelawfirm.com/,https://www.instagram.com/oconeelawfirm/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 estate planning law firm partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Grayson Jones,roofing,https://atlasrnr.com/roof-repair/roof-repair-athens-ga/,https://www.instagram.com/atlasroofingnrestoration/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 roofing company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Thrive Integrative Medicine,integrative medicine,https://thriveathens.com/,https://www.instagram.com/thrive_integrative_medicine/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 integrative medicine practice partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Adcock Furniture & Design,interior design,https://adcockdesign.com/,https://www.instagram.com/adcock_furniture/,Trey,Trey,"Trey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 interior design studio partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Certified Clean Care,home cleaning,https://www.certifiedcleancare.com/,https://www.instagram.com/certified.clean.care/,Jared,Jared,"Jared, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 home cleaning company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,M. Woods Interiors,interior design,https://www.mwoodsinteriors.com/,https://www.instagram.com/mwoodsinteriors/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 interior design studio partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Koala Express Car Wash,car washes,https://www.koalaexpresscarwash.com/,https://www.instagram.com/koalaexpresscarwash/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 car wash partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Hall Dental,general dentistry,https://www.halldental.com/,https://www.instagram.com/hall_dental/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 dental practice partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Berry Coating,painting,https://www.wereyourpainters.com/,https://www.instagram.com/berry.coating.inc/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 painting company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Leslie Spornberger Jones,criminal defense law,https://lesliejoneslaw.com/,https://www.instagram.com/lesliejoneslaw/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 criminal defense law firm partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Simpson Chiropractic Wellness and Weight Loss Center,chiropractic,https://www.chiropracticinathens.com/,https://www.instagram.com/simpsonchirowl/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 chiropractic practice partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Evan Greller,chiropractic,https://www.atlasspineandbalance.com/,https://www.instagram.com/atlasspineandbalance/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 chiropractic practice partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Peach State Probate Probate Attorneys Serving all of Georgia,estate law,https://peachstateprobate.com/athens/estate-planning/,https://www.instagram.com/peachstateprobate/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 estate planning law firm partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Athens Premier Pediatric & Perinatal Chiropractic,chiropractic,https://thehavenbirth.com/,https://www.instagram.com/thehavenchiropractic/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 chiropractic practice partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Five Points Eye Care,optometry,https://www.fivepointseyecare.com/,https://www.instagram.com/fivepointseyecare/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 optometry practice partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Martha E Allen,integrative medicine,https://drmarthaallen.com/,https://www.instagram.com/drmarthaallen/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 integrative medicine practice partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Pete 's Pest Patrol,pest control,https://petespest.com/,https://www.instagram.com/petespestpatrol/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 pest control company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Heaven's Best Carpet Cleaning,home cleaning,https://athensga.heavensbest.com/company/,https://www.instagram.com/heavensbestathens/,Dirk,Dirk,"Dirk, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 home cleaning company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Denali Roofing & Restorations,roofing,https://www.denalirandr.com/areas/clarke-county/athens/,https://www.instagram.com/denalirandr/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 roofing company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Catherine Shuman Wellness Interior Designer,interior design,https://theintentionaldesignstudio.com/,https://www.instagram.com/theintentionaldesignstudio/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 interior design studio partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Farmhouse Law Firm,real estate law,https://farmhouselawfirm.com/,https://www.instagram.com/farmhouselawfirm/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 real estate law firm partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
