date,market,publication,domain,category,business_name,instagram_url,instagram_handle,website,research_source,contact_route,buyer_group,category_phrase,outcome_phrase,audience_line,final_dm,quality_score,duplicate_status,last_contacted_date,notes
2026-08-24,"Augusta, GA",Augusta Digest,augustadigest.com,remodeling,The Knotty Log,https://www.instagram.com/theknottylog/,theknottylog,https://www.knottylogwoodworks.com/custom-cabinets/,your website,marketing,homeowners and families,remodeling work,home upgrade choice,"6,000+ Augusta homeowners and families","Hi The Knotty Log! I found you through your website and wanted to reach out. We run Augusta Digest, a local email publication read by 6,000+ Augusta-area locals.

We’re choosing one remodeling company as our exclusive partner, meaning we won’t work with a competing remodeling company. The Knotty Log looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: remodel | market affinity: exact city address or core ZIP
2026-08-24,"Augusta, GA",Augusta Digest,augustadigest.com,HVAC,atc Auto Center,https://www.instagram.com/atcautocenter/,atcautocenter,https://atcautocenter.com/augusta/,your website,marketing,homeowners and families,HVAC reputation,HVAC choice,"6,000+ Augusta homeowners and families","Hi atc Auto Center! I found you through your website and wanted to reach out. We run Augusta Digest, a local email publication read by 6,000+ Augusta-area locals.

We’re choosing one HVAC company as our exclusive partner, meaning we won’t work with a competing HVAC company. atc Auto Center looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: website_schema | website category match: air conditioning | market affinity: exact city address or core ZIP
2026-08-24,"Augusta, GA",Augusta Digest,augustadigest.com,landscaping,Beasley Landscaping,https://www.instagram.com/beasleyland1/,beasleyland1,https://beasleylandscaping.com/,your website,marketing,homeowners and families,landscaping work,outdoor upgrade choice,"6,000+ Augusta homeowners and families","Hi Beasley Landscaping! I found you through your website and wanted to reach out. We run Augusta Digest, a local email publication read by 6,000+ Augusta-area locals.

We’re choosing one landscaping company as our exclusive partner, meaning we won’t work with a competing landscaping company. Beasley looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: website_schema | website category match: landscaping | market affinity: exact city address or core ZIP
2026-08-24,"Augusta, GA",Augusta Digest,augustadigest.com,landscaping,Beggs Landscaping,https://www.instagram.com/beggs_landscaping/,beggs_landscaping,https://www.beggslandscaping.com/,your website,marketing,homeowners and families,landscaping work,outdoor upgrade choice,"6,000+ Augusta homeowners and families","Hi Beggs Landscaping! I found you through your website and wanted to reach out. We run Augusta Digest, a local email publication read by 6,000+ Augusta-area locals.

We’re choosing one landscaping company as our exclusive partner, meaning we won’t work with a competing landscaping company. Beggs looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: website_schema | website category match: landscaping | market affinity: exact city address or core ZIP
2026-08-24,"Augusta, GA",Augusta Digest,augustadigest.com,premium fitness,CrossFit Stars and Bars,https://www.instagram.com/cfstarsandbars/,cfstarsandbars,https://www.crossfitstarsandbars.com/,your website,marketing,high-intent local wellness and family buyers,fitness concept,fitness option,"6,000+ Augusta high-intent local wellness and family buyers","Hi CrossFit Stars and Bars! I found you through your website and wanted to reach out. We run Augusta Digest, a local email publication read by 6,000+ Augusta-area locals.

We’re choosing one fitness studio as our exclusive partner, meaning we won’t work with a competing fitness studio. CrossFit Stars and Bars looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: fitness | market affinity: evans; explicit Augusta market/service evidence
2026-08-24,"Augusta, GA",Augusta Digest,augustadigest.com,pet care,Animal Boutique,https://www.instagram.com/animal.boutique/,animal.boutique,https://www.animalboutiqueaugusta.com/,your Google profile,marketing,families and parents,pet care concept,pet care choice,"6,000+ Augusta families and parents","Hi Animal Boutique! I found you through your Google profile and wanted to reach out. We run Augusta Digest, a local email publication read by 6,000+ Augusta-area locals.

We’re choosing one pet care business as our exclusive partner, meaning we won’t work with a competing pet care provider. Animal Boutique looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: instagram_display_name | website category match: pet | market affinity: exact city address or core ZIP
2026-08-24,"Augusta, GA",Augusta Digest,augustadigest.com,women's wellness,Advanced Chiropractic and Wellness Center,https://www.instagram.com/advancedwellnessaugusta/,advancedwellnessaugusta,https://chiropractic4augusta.com/,your Google profile,the office,high-intent local wellness and family buyers,women's wellness work,women's wellness option,"6,000+ Augusta high-intent local wellness and family buyers","Hi Advanced Chiropractic and Wellness Center! I found you through your Google profile and wanted to reach out. We run Augusta Digest, a local email publication read by 6,000+ Augusta-area locals.

We’re choosing one women's wellness practice as our exclusive partner, meaning we won’t work with a competing women's wellness clinic. Advanced Chiropractic and Wellness Center looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: wellness | market affinity: exact city address or core ZIP
2026-08-24,"Augusta, GA",Augusta Digest,augustadigest.com,med spas,Luna Medical Spa,https://www.instagram.com/lunamedicalspacsra/,lunamedicalspacsra,https://lunamedispa.com/,your website,the office,high-intent local wellness and family buyers,med spa concept,go-to med spa,"6,000+ Augusta high-intent local wellness and family buyers","Hi Luna Medical Spa! I found you through your website and wanted to reach out. We run Augusta Digest, a local email publication read by 6,000+ Augusta-area locals.

We’re choosing one med spa as our exclusive partner, meaning we won’t work with a competing med spa. Luna looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: website_schema | website category match: medical spa | market affinity: exact city address or core ZIP
2026-08-24,"Augusta, GA",Augusta Digest,augustadigest.com,plumbing,Good Morning Sunshine Plumbing,https://www.instagram.com/sunshine/,sunshine,https://www.goodmorningsunshineplumbing.com/,your Google profile,marketing,homeowners and families,plumbing reputation,plumbing choice,"6,000+ Augusta homeowners and families","Hi Good Morning Sunshine Plumbing! I found you through your Google profile and wanted to reach out. We run Augusta Digest, a local email publication read by 6,000+ Augusta-area locals.

We’re choosing one plumbing company as our exclusive partner, meaning we won’t work with a competing plumbing company. Good Morning Sunshine looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: plumbing | market affinity: exact city address or core ZIP
2026-08-24,"Augusta, GA",Augusta Digest,augustadigest.com,remodeling,Riverchase Rental Homes,https://www.instagram.com/augustarentalhomes/,augustarentalhomes,http://riverchaseaugusta.com/,your Google profile,marketing,homeowners and families,remodeling work,home upgrade choice,"6,000+ Augusta homeowners and families","Hi Riverchase Rental Homes! I found you through your Google profile and wanted to reach out. We run Augusta Digest, a local email publication read by 6,000+ Augusta-area locals.

We’re choosing one remodeling company as our exclusive partner, meaning we won’t work with a competing remodeling company. Riverchase Rental Homes looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: kitchen | market affinity: exact city address or core ZIP
2026-08-24,"Augusta, GA",Augusta Digest,augustadigest.com,private schools,Next Level Training Academy,https://www.instagram.com/nxtlvl_training/,nxtlvl_training,https://thenlta.com/,your Google profile,admissions,families and parents,private school reputation,school choice,"6,000+ Augusta families and parents","Hi Next Level Training Academy! I found you through your Google profile and wanted to reach out. We run Augusta Digest, a local email publication read by 6,000+ Augusta-area locals.

We’re choosing one private school as our exclusive partner, meaning we won’t work with a competing private school. Next Level Training looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: academy | market affinity: exact city address or core ZIP
